Date,Value,Day,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipitation,day_of_week,Day
01-06-2016,29.691,1,85,73.8,68,74,71.4,66,100,89.4,65,21,9.5,0,29.8,29.8,29.7,0,2,1
02-06-2016,28.789,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2
03-06-2016,19.247,3,79,72.1,68,73,70,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,3
04-06-2016,22.883,4,76,71.2,69,73,70,66,100,96.1,85,20,7,0,29.8,29.7,29.7,2.37,2,4
05-06-2016,25.195,5,82,73.8,68,72,70,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,5
06-06-2016,29.323,6,87,76.6,70,73,70.8,68,100,84,53,8,4.7,0,29.7,29.7,29.6,0.44,0,6
07-06-2016,30.322,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5,0,29.8,29.8,29.7,0,2,7
08-06-2016,40.051,8,88,79.3,71,72,69,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0,5,8
09-06-2016,38.667,9,88,79.2,72,74,69.9,65,100,75.3,49,15,6.7,0,29.8,29.8,29.8,0,1,9
10-06-2016,42.467,10,90,80.6,72,75,73.3,71,100,80,55,14,5.7,0,29.9,29.8,29.8,0,3,10
11-06-2016,54.001,11,90,82,75,77,75,73,96,79.8,59,13,5.4,0,29.9,29.9,29.9,0,6,11
12-06-2016,38.414,12,86,78.7,73,79,74.7,70,100,88,72,13,6.7,0,30,29.9,29.9,0,1,12
13-06-2016,36.865,13,93,82.5,73,79,75.1,72,100,80,54,13,5,0,29.9,29.8,29.7,2.11,0,13
14-06-2016,46.684,14,94,85.7,79,76,74.6,73,90,70.8,51,10,6.3,0,29.8,29.8,29.7,0,1,14
15-06-2016,41.78,15,95,85.2,78,77,74.4,70,93,72.3,46,12,6.1,0,29.9,29.8,29.8,0,2,15
16-06-2016,43.292,16,96,86.5,79,77,74.6,70,94,69.8,44,10,6.5,3,29.9,29.9,29.8,0,3,16
17-06-2016,41.361,17,95,85.8,79,78,75.1,71,90,71.9,47,14,5.1,0,29.9,29.8,29.8,0,4,17
18-06-2016,46.41,18,96,84.8,77,79,73.7,68,96,71,47,22,6.6,0,29.9,29.9,29.8,0,5,18
19-06-2016,47.559,19,90,82.3,74,73,71.5,69,91,71.1,52,12,5.8,0,30,30,29.9,0,6,19
20-06-2016,38.9,20,91,82.9,76,76,73.6,71,94,75,52,17,5,0,30.1,30,30,0,0,20
21-06-2016,34.485,21,92,82.7,76,76,73.9,72,94,76.1,52,18,4.1,0,30,30,29.9,0,1,21
22-06-2016,42.401,22,92,83.2,76,76,73.3,70,94,73.5,50,17,7.2,0,30,29.9,29.9,0.02,2,22
23-06-2016,40.404,23,92,83.8,74,73,71,69,93,66.9,47,14,6,0,30,29.9,29.9,0,3,23
24-06-2016,36.68,24,91,82,73,76,73.4,71,93,76.2,54,13,6,0,30,29.9,29.9,0,4,24
25-06-2016,42.348,25,91,83.1,76,79,74.7,72,97,76.7,59,17,4.9,0,30,29.9,29.9,0,5,25
26-06-2016,42.576,26,93,84.8,76,77,73.8,70,97,71.3,50,10,3.5,0,30,29.9,29.9,0.06,6,26
27-06-2016,42.929,27,95,84.8,76,76,74.1,72,97,71.8,49,8,2,0,30,29.9,29.9,0,0,27
28-06-2016,36.66,28,95,82.2,75,75,73.8,72,94,77.2,52,20,5.2,0,29.9,29.9,29.8,0,1,28
29-06-2016,35.047,29,93,81.6,74,75,73.6,72,97,78.3,52,14,5.2,0,29.9,29.8,29.8,0,2,29
30-06-2016,37.932,30,94,83.8,75,75,72.7,70,94,71.3,47,13,6,0,29.9,29.8,29.8,0,3,30
01-07-2016,43.177,1,94,84.9,76,76,74,72,94,71.6,51,13,5.7,0,29.9,29.9,29.8,0,3,31
02-07-2016,59.41,2,95,86.2,76,76,73.1,69,94,67.2,43,12,5.5,0,29.9,29.9,29.8,0,6,32
03-07-2016,63.001,3,95,87.1,80,76,74.1,70,85,66.5,44,18,9.5,5,29.9,29.9,29.8,0,0,33
04-07-2016,58.908,4,97,87.7,82,77,74.8,72,85,66.7,44,14,9.5,5,29.9,29.9,29.8,0,3,34
05-07-2016,45.24,5,96,87.1,82,77,75.3,71,84,69.3,44,14,9.3,3,29.9,29.9,29.9,0,5,35
06-07-2016,43.361,6,95,87,82,79,74.4,69,89,67.6,44,15,9.9,6,29.9,29.9,29.8,0,1,36
07-07-2016,41.832,7,97,87.3,81,77,75.2,72,88,68.9,44,20,9.6,5,29.9,29.9,29.8,0,3,37
08-07-2016,43.316,8,97,87,79,78,74,70,90,67.2,43,16,7.9,3,29.9,29.9,29.9,0,6,38
09-07-2016,48.884,9,97,86.6,77,78,74.6,70,94,69.3,43,14,7.1,0,29.9,29.9,29.8,0,2,39
10-07-2016,44.535,10,94,86,80,79,74,66,90,69.7,42,14,7.4,0,29.9,29.9,29.8,0.28,4,40
11-07-2016,43.727,11,96,87.3,82,76,72.6,67,82,63.8,38,21,11.1,5,29.9,29.8,29.8,0,0,41
12-07-2016,43.278,12,97,87.4,81,77,74,70,85,66.1,41,17,9.6,3,29.9,29.9,29.8,0,2,42
13-07-2016,47.16,13,97,88.3,81,79,74.6,69,88,65.7,44,14,8.9,3,29.9,29.9,29.9,0,2,43
14-07-2016,48.224,14,97,86.7,81,77,73.8,68,88,68.2,39,14,7.4,0,29.9,29.9,29.8,0,3,44
15-07-2016,16.696,15,98,87.2,77,77,73.1,66,94,65.8,35,18,6.9,0,29.9,29.9,29.8,0,4,45
16-07-2016,16.299,16,96,86,77,77,72.3,66,94,66.3,38,16,5.6,0,29.9,29.9,29.8,0,5,46
17-07-2016,14.246,17,95,84.7,77,76,73,70,90,69.3,46,18,6,0,30,29.9,29.9,0,6,47
18-07-2016,13.84,18,96,84.1,77,77,75,72,94,75,49,9,3.5,0,30,30,30,0,0,48
19-07-2016,12.329,19,91,82.7,77,77,75.4,73,96,79.3,55,12,5.3,0,30.1,30,30,0.24,1,49
20-07-2016,15.786,20,97,85.6,76,77,74,71,97,70.8,43,12,3.9,0,30.1,30,30,0.22,2,50
21-07-2016,19.101,21,97,86.8,76,77,71.9,64,94,64.8,34,12,3.9,0,30,30,29.9,0.01,3,51
22-07-2016,64.973,22,98,87.5,77,76,72.6,67,94,64,37,12,3.4,0,30,29.9,29.8,0,4,52
23-07-2016,62.589,23,98,87.5,78,76,73.8,70,90,65.4,40,10,5.5,0,29.9,29.8,29.8,0,5,53
24-07-2016,56.825,24,98,88.3,78,77,73.9,69,93,64.4,40,15,5.5,0,29.9,29.8,29.8,0,6,54
25-07-2016,39.835,25,95,85.7,79,76,74,72,88,69.2,49,24,6.7,0,29.9,29.8,29.8,0,0,55
26-07-2016,33.564,26,91,81.1,77,77,74.6,73,96,81.4,57,14,5.1,0,29.8,29.8,29.8,0,1,56
27-07-2016,40.543,27,85,79.7,73,78,74.6,71,94,84.6,72,10,4.4,0,29.9,29.9,29.8,0,2,57
28-07-2016,35.123,28,90,81,75,79,75.2,70,94,83.5,59,24,4.7,0,29.9,29.9,29.8,0.22,3,58
29-07-2016,50.193,29,94,84.5,76,77,74,72,97,72.7,49,12,4.4,0,29.9,29.9,29.8,0.12,4,59
30-07-2016,59.391,30,97,85.8,77,77,73.8,68,94,69.7,41,10,4.2,0,29.9,29.9,29.8,0,5,60
31-07-2016,52.989,31,96,85.9,79,79,75,71,90,71.2,47,13,5.6,0,29.9,29.9,29.9,0,6,61
01-08-2016,50.057,1,97,86.5,75,76,73.3,67,96,67.3,37,20,6,0,30,29.9,29.9,0,4,62
02-08-2016,47.57,2,97,87.3,77,77,73.9,71,94,66.3,43,15,4.6,0,30,29.9,29.9,0,0,63
03-08-2016,49.566,3,97,87.4,77,77,73.8,71,94,66.4,43,15,4.5,0,29.9,29.9,29.8,0,1,64
04-08-2016,49.523,4,97,87.1,76,77,74.4,71,94,68,43,14,4.8,0,29.9,29.8,29.8,0,4,65
05-08-2016,48.771,5,96,87.1,78,77,74.2,72,90,66.9,46,8,4.1,0,29.9,29.8,29.8,0,6,66
06-08-2016,55.993,6,97,87.6,78,76,72.8,65,90,64.1,36,16,5.8,0,29.9,29.8,29.8,0,2,67
07-08-2016,61.38,7,100,88.5,79,77,73,65,90,63.2,34,12,5.2,0,29.9,29.8,29.7,0,4,68
08-08-2016,48.945,8,98,88,77,77,73.1,66,94,64.1,35,14,5,0,29.8,29.8,29.7,0,0,69
09-08-2016,54.938,9,100,89,77,77,74.4,70,94,64.4,39,15,6.3,0,29.8,29.8,29.7,0,3,70
10-08-2016,57.28,10,99,89.4,80,78,74.7,68,87,64.2,37,15,5.7,0,29.9,29.8,29.8,0,5,71
11-08-2016,56.953,11,100,89.8,82,79,75.7,67,85,65.8,34,15,8,0,29.9,29.8,29.7,0,1,72
12-08-2016,57.734,12,98,87.8,82,78,74.8,69,85,67.6,39,14,8.4,5,29.8,29.7,29.6,0,3,73
13-08-2016,51.981,13,95,82.8,76,78,75.4,72,97,79.9,47,26,8,0,29.8,29.7,29.6,0,5,74
14-08-2016,36.371,14,88,77.3,72,75,73.1,67,97,87.2,63,15,4.7,0,29.9,29.8,29.7,1.19,6,75
15-08-2016,34.397,15,86,78.6,75,77,74.8,72,96,88.4,72,10,6.1,0,29.9,29.9,29.8,1.3,0,76
16-08-2016,29.62,16,81,76.8,75,76,74.4,72,97,92.4,82,15,6.6,0,30,29.9,29.9,1.91,1,77
17-08-2016,29.67,17,82,77.3,73,76,73.8,72,97,89.2,74,20,8.3,0,30,30,29.9,1.57,2,78
18-08-2016,27.957,18,87,78.1,74,78,74.9,72,97,90.2,72,22,5.1,0,30,29.9,29.9,1.73,3,79
19-08-2016,33.474,19,92,81.8,75,77,74.8,72,97,80.5,54,21,6,0,29.9,29.8,29.8,0.19,4,80
20-08-2016,38.245,20,90,81.9,75,77,74.8,73,96,79.7,59,10,5.7,0,29.8,29.8,29.7,0.39,5,81
21-08-2016,40.958,21,86,80.7,77,77,74.5,72,94,81.9,67,15,5.9,0,29.9,29.9,29.8,0.53,6,82
22-08-2016,34.785,22,88,78.3,74,78,74.7,72,97,89.5,65,18,6.3,0,30,30,29.9,0,0,83
23-08-2016,42.852,23,94,83.1,75,79,76,73,97,80.5,52,20,7.6,0,30.1,30,30,0.33,1,84
24-08-2016,50.701,24,93,83,76,78,75.4,73,97,79.1,52,15,6.2,0,30,30,29.9,0,2,85
25-08-2016,44.537,25,90,79.6,75,78,74.6,72,97,85.2,59,15,5.1,0,30,29.9,29.9,0,3,86
